category,text,pronunciation,translation
식당/주문,배가 너무 불러요,[배가 너무 불러요],I am too full
식당/주문,여기 계산해 주세요,[여기 계산해 주세요],Check please
식당/주문,화장실이 어디에 있죠?,[화장시리 어디에 읻쪼?],Where is the restroom?
식당/주문,이거 포장 되나요?,[이거 포장 되나요?],Can I take this to go?
식당/주문,휴지 좀 주실래요?,[휴지 좀 주실래요?],Could you give me some tissues?
식당/주문,영수증 필요하세요?,[영수증 필요하세요?],Do you need a receipt?
식당/주문,술은 안 마셔요,[수른 안 마셔요],I do not drink alcohol
식당/주문,콜라 한 병 주세요,[콜라 한 병 주세요],Please give me a bottle of cola
식당/주문,저는 알레르기가 있어요,[저는 알레르기가 이써요],I have an allergy
식당/주문,음식이 좀 짜요,[음시기 좀 짜요],The food is a bit salty
식당/주문,잘 먹었습니다,[잘 머걷씀니다],Thank you for the meal
식당/주문,다음에 또 올게요,[다으메 또 올께요],I will come again next time
감정표현,오늘 기분이 좋아요,[오늘 기부니 조아요],I feel good today
감정표현,너무 행복해요,[너무 행보캐요],I am so happy
감정표현,조금 슬픈 것 같아요,[조금 슬픈 걷 가타요],I think I am a little sad
감정표현,집에 있어서 심심해요,[지베 이써서 심심해요],I am bored being at home
감정표현,어제 못 자서 피곤해요,[어제 몯 짜서 피곤해요],I am tired because I could not sleep yesterday
감정표현,지금 너무 졸려요,[지금 너무 졸려요],I am so sleepy right now
감정표현,친구가 늦어서 화가 나요,[친구가 느저서 화가 나요],I am angry because my friend is late
감정표현,깜짝 놀랐어요,[깜짱 놀라써요],I was surprised
감정표현,정말 신나는 일이에요,[정말 신나는 이리에요],It is really exciting
감정표현,시험 때문에 걱정돼요,[시험 때무네 걱쩡돼요],I am worried about the exam
감정표현,너무 걱정하지 마세요,[너무 걱쩡하지 마세요],Do not worry too much
감정표현,밤이라서 좀 무서워요,[바미라서 좀 무서워요],I am a bit scared because it is night
감정표현,그 영화 참 웃겨요,[그 영화 참 욷껴요],That movie is really funny
감정표현,기분 전환이 필요해요,[기분 전환이 필요해요],I need a change of mood
감정표현,머리가 많이 아파요,[머리가 마니 아파요],My head hurts a lot
감정표현,몸이 좀 안 좋아요,[모미 좀 안 조아요],I do not feel well
감정표현,답답해서 나가고 싶어요,[답따패서 나가고 시퍼요],I want to go out because I feel stuffy
감정표현,내일 발표라 긴장돼요,[내일 발표라 긴장돼요],I am nervous about tomorrow's presentation
감정표현,비가 와서 우울해요,[비가 와서 우우래요],I am depressed because it is raining
감정표현,마음이 편안해요,[마으미 펴나네요],I feel at peace
쇼핑/구매,이거 얼마예요?,[이거 얼마에요?],How much is this?
쇼핑/구매,너무 비싼 것 같아요,[너무 비싼 걷 가타요],I think it is too expensive
쇼핑/구매,조금만 깎아 주세요,[조금만 까까 주세요],Please give me a small discount
쇼핑/구매,더 작은 사이즈 있어요?,[더 자근 사이즈 이써요?],Do you have a smaller size?
쇼핑/구매,더 큰 걸로 주세요,[더 큰 걸로 주세요],Please give me a bigger one
쇼핑/구매,이거 입어봐도 돼요?,[이거 이버봐도 돼요?],Can I try this on?
쇼핑/구매,탈의실은 저쪽이에요,[타의시른 저쪼기에요],The fitting room is over there
쇼핑/구매,이걸로 살게요,[이걸로 살께요],I will buy this one
쇼핑/구매,다른 색깔은 없나요?,[다른 색까른 엄나요?],Don't you have other colors?
쇼핑/구매,선물 포장 해 주세요,[선물 포장 해 주세요],Please wrap this as a gift
쇼핑/구매,봉투 필요하세요?,[봉투 필요하세요?],Do you need a bag?
쇼핑/구매,카드로 계산할게요,[카드로 계산할께요],I will pay by card
쇼핑/구매,현금영수증 해 주세요,[현금영수증 해 주세요],Please give me a cash receipt
쇼핑/구매,디자인이 참 예뻐요,[디자이니 참 예뻐요],The design is really pretty
쇼핑/구매,저한테 안 어울려요,[저한테 안 어울려요],It does not suit me
쇼핑/구매,다른 거 보여주세요,[다른 거 보여주세요],Please show me something else
쇼핑/구매,이거 교환하고 싶어요,[이거 교환하고 시퍼요],I want to exchange this
쇼핑/구매,환불이 가능한가요?,[환부리 가능한가요?],Is a refund possible?
쇼핑/구매,세일은 언제부터예요?,[세이른 언제부터예요?],When does the sale start?
쇼핑/구매,그냥 구경하는 거예요,[그냥 구경하는 거에요],I am just looking around
일정/계획,이번 주말에 뭐 해요?,[이번 주마레 뭐 해요?],What are you doing this weekend?
일정/계획,내일 시간 괜찮아요?,[내일 시간 괜차나요?],Are you free tomorrow?
일정/계획,저는 약속이 있어요,[저는 약쏘기 이써요],I have an appointment
일정/계획,오늘은 좀 바빠요,[오느른 좀 바빠요],I am a bit busy today
일정/계획,언제 만나는 게 좋아요?,[언제 만나는 게 조아요?],When is good to meet?
일정/계획,6시에 강남에서 봐요,[여서씨에 강나면서 봐요],Let's meet at Gangnam at 6
일정/계획,어디에서 만날까요?,[어디에서 만날까요?],Where shall we meet?
일정/계획,카페 가서 이야기해요,[카페 가서 이야기해요],Let's go to a cafe and talk
일정/계획,같이 영화 보러 갈래요?,[가치 영화 보러 갈래요?],Shall we go see a movie together?
일정/계획,점심 먹으러 갑시다,[점심 머그러 갑씨다],Let's go eat lunch
일정/계획,숙제를 빨리 해야 해요,[숙제를 빨 리 해야 해요],I have to do my homework quickly
일정/계획,운동하러 갈 거예요,[운동하러 갈 거에요],I am going to exercise
일정/계획,여행 계획이 있어요?,[여행 계획이 이써요?],Do you have travel plans?
일정/계획,아직 특별한 계획 없어요,[아직 특별한 계획 업써요],I have no special plans yet
일정/계획,시간을 바꿔도 될까요?,[시가늘 바꿔도 될까요?],Can we change the time?
일정/계획,조금 늦을 것 같아요,[조금 느즐 걷 가타요],I think I will be a little late
일정/계획,잠시만 기다려 주세요,[잠시만 기다려 주세요],Please wait a moment
일정/계획,다음 주에 만납시다,[다음 주에 만납씨다],Let's meet next week
일정/계획,나중에 전화해 주세요,[나중에 전화해 주세요],Please call me later
일정/계획,일정이 취소되었어요,[일쩡이 취소되어써요],The schedule has been canceled
